screen_name,text,time,date
@baird9965,"@femfreq If you take death threats seriously, kill yourself.",9:40 PM,1/21/2015
@itzbesty,@femfreq So what! People get angry and make a threat in game and 1 hour later their the nicest person in the world! Stop lying to the media!,11:39 PM,1/21/2015
@etowbu,@femfreq listen up you dumb hoe. Go fuck yourself and your shitty sense. Dumb bitch doesnt know anything. Kys.,11:49 PM,1/21/2015
@High_Lew,@femfreq Kill your self Anita you stupid fucking bitch you think your the only one attacked lol get the fuck out of you feminist cunt,4:57 AM,1/22/2015
@gleidmeister,@femfreq Eyo fucking slut. If you will ever come to Europe I will rape you into oblivion,8:25 AM,1/22/2015
@daynodaynodayno,@femfreq fuck off,8:57 AM,1/22/2015
@_floolf_,"@femfreq Let me ask you kindly, anita: Get the fuck out of the gaming community, you are like a parasite, would you?",5:26 PM,1/22/2015
@tehdefine,@femfreq FUCKING CUNT WHORE STOP TRYING TO PLAY VICTIM YOU'RE FUCKING STUPID!!!!!,6:37 PM,1/22/2015
@vandalstripe,im going to kill you @femfreq,6:47 PM,1/22/2015
@xbulletgaming,@spikepoint @femfreq imma kill u and rape u,7:30 PM,1/22/2015
@rad_angel,@femfreq YOURE RUINING #GamerGate FOR WHAT IT WAS SUPPOSED TO BE LIKE WHY DO YOU DO THAT WHATS YOUR PROBLEM? STOP DUDE LIKE FUCK,8:12 PM,1/22/2015
@theogeditor,@femfreq You Stupid Ass Bitch I Will Fuck You In The Ass So Hard I Would Break The 9.5 Earthquake Record And Leave That Ass Jiggling ForDays,10:22 PM,1/22/2015
@headergod,@femfreq fuck this stupid bitch,11:15 PM,1/22/2015
@mlgpurdy,@femfreq your a bitch your a bitch your a bitch your a bitch bitch bitch your a bitch!,1:00 PM,1/23/2015
@teraberserker22,@femfreq I'm gonna beat you with a sock of quarters and your supporters if you come to my town,1:32 PM,1/23/2015
@justpiaras,@radicalbytes fuck you twat,1:44 PM,1/23/2015
@hathrowrs,@ femfreq die please and thank you,4:17 PM,1/23/2015
@teraberserker22,@femfreq swear I would put this bitch 6 feet deep.,5:11 PM,1/23/2015
@teraberserker22,"@ femfreq Hope she dies really soon, if not soon enough, then I'll kill her.",5:21 PM,1/23/2015
@goforit12345,"@femfreq you are a cunt, so what is the problem",6:27 PM,1/23/2015
@frvgmented,"@femfreq keep on scamming your followers. threats are part of gaming, always been. Stop tryinng to victimize yourself for money!",6:39 PM,1/23/2015
@_asap_nerdy_,No one likes you Anita Sarkeesian you little bitch. @femfreq,7:07 PM,1/23/2015
@tylergarza18,"@femfreq well if it's on the Internet, it must be true. Cunt.",7:26 PM,1/23/2015
@vindicatorofyah,@femfreq should be @femCUNT or @femFREAK LOL! I HATE FEMCUNTS!!,7:51 PM,1/23/2015
@yanderiction,"@femfreq @JimSterling Threats ARE an accepted part of gaming, except in non-cunt lingo its called *trash talk*. But sure, Keep milkin it. ",7:52 PM,1/23/2015
@knight_mut,"@femfreq I WAANT TO FUCKING STAB YOUR STUPID FUCKING UGLY SHAPED FACE YOU FEMINIST CUNT, KILL YOURSELF, NO ONE WILL CARE BITCH.",7:59 PM,1/23/2015
@jaakeycoady,"@femfreq you're a sad bunch for supporting this attention whore. you people need to grow up, seriously, the lies she spits is embarrassing.",8:10 PM,1/23/2015
@grandfunk_rr,@femfreq Don't take away my Grand Funk. I will grab my 12 gauge and shove it so far your Hollywood arse...,10:48 PM,1/23/2015
@tremuh,"Hope you get put in jail for being a con artist @femfreq you're a joke, you're a moron abs hope you get killed lol post my shit please",11:39 PM,1/23/2015
@harveyisay,"@femfreq it's normal. It's part of gaming, stop being such a pussy or I'll rape you.",1:57 PM,1/24/2015
@pwn0graph,@femfreq well try sorting issues like Saudi Arabias REAL patriarchy instead of telling me how to sit on public transport you silly cunt!,3:43 AM,1/24/2015
